T,Z
4.0,8.64
6.5,8.44
6.0,8.53
2.0999999,8.82
-4.9000001,8.51
0.300000012,8.62
6.5,8.65
-3.0999999,8.6
2.0,8.72
5.9000001,8.6
9.10000038,8.28
5.9000001,8.73
5.0999999,8.7
2.29999995,8.59
3.0999999,8.64
6.0,8.65
-2.79999995,8.69
-2.0999999,8.69
6.0,8.56
5.9000001,8.64
6.0,8.76
-1.79999995,8.71
-3.20000005,8.23
5.9000001,8.73
6.0,8.55
6.0999999,8.6
-3.20000005,8.84
0.0,8.64
3.9000001,8.78
4.19999981,8.35
4.80000019,8.86
3.9000001,8.84
9.80000019,8.5
-4.80000019,8.59
4.0,8.61
6.5,8.66
3.0,8.66
5.69999981,8.74
5.9000001,8.79
1.20000005,8.58
3.0999999,8.73
3.0999999,8.74
1.0,8.69
6.5,8.41
5.80000019,8.8
-4.80000019,8.55
3.0,8.62
3.5999999,8.76
-4.9000001,8.64
-3.0999999,8.77
6.4000001,8.57
5.80000019,8.72
4.0999999,8.67
4.0999999,8.54
6.5,8.64
5.80000019,8.65
3.0999999,8.46
5.9000001,8.7
6.0,8.56
4.0,8.7
3.0,8.6
6.0,8.6
1.20000005,8.75
0.0,8.74
3.70000005,8.72
2.0,8.7
3.9000001,8.69
3.0999999,8.7
6.0,8.51
1.10000002,8.77
1.0,8.63
4.0999999,8.74
-5.0,8.76
5.69999981,8.83
2.9000001,8.64
3.0,8.78
2.0,8.61
1.0,8.69
3.20000005,8.81
-2.0999999,9.06
5.80000019,8.63
8.60000038,8.6
2.9000001,8.73
2.0999999,8.56
3.0,8.76
3.0999999,8.83
2.29999995,8.71
0.699999988,8.67
-3.0,8.63
4.80000019,8.79
4.80000019,8.85
6.0999999,8.5
6.5999999,8.56
-1.10000002,8.62
3.0999999,8.78
4.9000001,8.76
4.0999999,8.77
5.80000019,8.72
6.0,8.58
1.89999998,8.54
-2.0999999,8.64
1.79999995,8.77
2.0,8.74
6.0,8.71
4.0999999,8.75
1.89999998,8.43
-1.79999995,8.67
-3.0,8.81
2.0999999,8.8
0.0,8.67
3.79999995,8.66
3.20000005,8.75
-4.9000001,8.7
1.10000002,8.91
6.0,8.76
3.9000001,8.72
-2.70000005,8.81
-4.80000019,8.63
3.70000005,8.68
3.0999999,8.68
-2.20000005,8.64
-2.70000005,8.72
2.0,8.46
4.0999999,8.8
-1.89999998,8.64
2.4000001,8.71
5.0999999,8.75
5.30000019,8.72
3.0999999,8.79
-4.69999981,8.59
-2.9000001,8.71
5.80000019,8.6
3.0999999,8.7
-1.89999998,8.71
7.9000001,8.32
2.0,8.79
5.0,8.83
3.0999999,8.85
3.0999999,8.79
9.10000038,8.23
7.80000019,8.69
5.0999999,8.84
-4.0,8.46
8.69999981,8.41
1.10000002,8.64
5.0999999,8.64
-3.20000005,8.61
3.5,8.72
-4.80000019,8.71
6.19999981,8.37
-1.79999995,8.59
6.0,8.68
-2.20000005,8.51
-2.0999999,8.78
2.9000001,8.7
-1.79999995,8.86
8.0,8.53
5.9000001,8.56
3.0999999,8.79
7.19999981,8.46
5.80000019,8.59
6.0,8.55
5.9000001,8.83
6.5,8.41
5.80000019,8.72
-3.29999995,8.63
9.89999962,8.22
2.0,8.63
5.9000001,8.7
6.0,8.67
3.0999999,8.76
3.0999999,8.73
5.0999999,8.9
-5.0,9.18
5.80000019,8.7
6.0999999,8.4
-4.80000019,8.67
6.5999999,8.47
2.0,8.92
5.9000001,8.56
6.4000001,8.46
4.0,8.79
2.9000001,8.77
6.5,8.74
5.30000019,8.83
5.80000019,8.66
3.9000001,8.63
4.80000019,8.76
4.19999981,8.76
9.89999962,8.35
2.9000001,8.69
4.19999981,8.79
-4.9000001,8.63
6.69999981,8.36
3.0,8.65
-3.0,8.78
8.89999962,8.57
4.0,8.79
3.5999999,8.72
6.69999981,8.66
7.0,8.57
5.80000019,8.72
6.5,8.73
-1.70000005,8.72
5.30000019,8.78
2.0,8.75
4.0,8.7
9.89999962,8.17
4.0,8.76
2.0,8.69
-4.9000001,8.67
-3.20000005,8.5
5.0,8.68
6.4000001,8.58
-2.0,8.69
7.9000001,8.54
0.899999976,8.63
3.0999999,8.8
-1.89999998,8.58
3.5999999,8.63
3.4000001,8.7
4.0,8.72
4.0999999,8.82
1.20000005,8.71
5.9000001,8.45
1.20000005,8.69
4.4000001,8.72
5.9000001,8.43
4.0999999,8.76
5.19999981,8.7
8.0,8.6
7.9000001,8.56
-4.80000019,8.55
3.0999999,8.78
1.20000005,8.55
9.80000019,8.52
6.5,8.64
5.0999999,8.95
9.60000038,8.52
3.70000005,8.82
3.0999999,8.66
-3.0999999,8.77
-5.0,8.65
1.0,8.72
4.30000019,8.82
3.0999999,8.8
7.9000001,8.43
2.0,8.58
6.0999999,8.48
1.0,8.77
3.0999999,8.64
-2.0,8.81
5.19999981,8.86
3.0,8.73
5.5,8.5
4.0999999,8.73
2.29999995,8.75
5.0999999,8.89
3.0,8.43
5.80000019,8.77
1.10000002,8.69
4.0,8.68
-1.10000002,8.68
8.0,8.59
0.899999976,8.71
5.9000001,8.43
3.0,8.72
8.0,8.33
6.5999999,8.77
5.19999981,8.51
-0.200000003,8.42
8.0,8.56
3.0999999,8.74
-2.20000005,8.47
0.0,8.46
3.0,8.77
-2.9000001,8.75
5.9000001,8.67
6.5999999,8.83
4.30000019,8.66
4.0,8.85
6.5999999,8.56
6.0,8.29
4.9000001,8.81
6.0,8.5
4.0,8.69
4.0,8.81
-1.20000005,8.7
6.5999999,8.68
1.60000002,8.66
6.69999981,8.61
3.5999999,8.79
-0.800000012,8.69
3.20000005,8.84
-2.0,8.65
6.0,8.67
0.0,8.8
8.80000019,8.53
4.0,8.73
5.9000001,8.77
3.20000005,8.38
5.0,8.68
6.80000019,8.6
4.0,8.87
2.9000001,8.69
6.0,8.57
8.69999981,8.77
4.30000019,8.83
6.5999999,8.67
2.0999999,8.55
-1.70000005,8.66
8.0,8.67
9.89999962,8.04
5.0,8.64
5.0,8.59
1.29999995,8.7
5.9000001,8.78
1.29999995,8.7
3.0999999,8.71
2.79999995,8.66
-4.80000019,8.57
5.9000001,8.56
8.69999981,8.35
2.0999999,8.57
6.0999999,8.45
4.0,8.85
-0.200000003,8.64
9.10000038,8.44
2.9000001,8.72
-4.80000019,8.72
5.9000001,8.86
6.0,8.85
0.800000012,8.83
1.20000005,8.62
4.0,8.67
7.0999999,8.23
3.0999999,8.71
4.0,8.79
2.5999999,8.75
1.0,8.54
10.0,8.27
6.5,8.39
4.0,8.74
6.5999999,8.69
5.9000001,8.67
-3.20000005,8.73
1.0,8.78
-2.0,8.63
-4.80000019,8.87
3.79999995,8.66
-2.0,8.18
9.80000019,8.01
5.0999999,8.81
3.0,8.78
-0.699999988,8.72
5.30000019,8.8
6.5,8.53
1.10000002,8.82
3.70000005,8.71
8.10000038,8.63
5.5,8.76
5.9000001,8.74
3.9000001,8.77
9.80000019,8.61
3.0,8.69
6.0,8.77
1.20000005,8.62
3.20000005,8.74
3.79999995,8.75
-4.80000019,8.62
-3.0,8.45
5.30000019,8.79
1.10000002,8.8
3.5,8.77
-3.20000005,8.62
-1.0,8.71
7.0999999,8.52
6.0,8.31
0.899999976,8.81
-1.89999998,8.75
9.69999981,8.47
6.30000019,8.73
5.9000001,8.55
9.80000019,8.28
2.0,8.77
0.200000003,8.68
5.80000019,8.87
8.80000019,8.62
2.4000001,8.76
-1.89999998,8.57
-4.0,8.74
3.0,8.69
-4.80000019,8.41
2.0,8.68
7.9000001,8.45
-4.80000019,8.69
-1.39999998,8.63
5.0999999,8.78
-4.69999981,8.41
-3.29999995,8.66
1.10000002,8.75
6.9000001,8.75
6.19999981,8.49
5.80000019,8.67
4.0999999,8.71
5.9000001,8.65
6.0,8.62
9.80000019,8.73
2.4000001,8.72
8.5,8.57
6.4000001,8.49
6.4000001,8.76
7.9000001,8.52
6.0,8.58
3.0999999,8.78
0.300000012,8.48
5.80000019,8.74
6.0999999,8.58
9.89999962,8.19
2.0999999,8.81
5.9000001,8.64
-0.899999976,8.72
5.80000019,8.73
5.30000019,8.72
5.80000019,8.67
-0.5,8.58
7.9000001,8.73
3.0999999,8.63
8.69999981,8.76
4.0999999,8.68
5.9000001,8.76
4.0999999,8.74
5.9000001,8.82
5.80000019,8.71
-4.80000019,8.64
0.300000012,8.68
3.70000005,8.75
4.69999981,8.7
6.0999999,8.61
4.5999999,8.87
3.20000005,8.74
5.9000001,8.83
6.5,8.65
3.0,8.89
5.80000019,8.69
2.0,8.66
3.20000005,8.75
6.4000001,8.74
6.9000001,8.64
3.0999999,8.72
3.0999999,8.67
1.20000005,8.54
3.70000005,8.68
2.0999999,8.71
8.60000038,8.42
9.60000038,8.31
5.9000001,8.73
3.0999999,8.73
2.0999999,8.76
-4.69999981,8.74
5.9000001,8.81
8.10000038,8.3
6.69999981,8.58
-1.10000002,8.74
5.80000019,8.6
-2.0999999,8.66
2.0999999,8.7
4.0,8.73
1.0,8.6
6.0,8.33
5.9000001,8.67
2.9000001,8.72
3.79999995,8.87
6.5,8.63
5.19999981,8.63
-0.800000012,8.59
5.30000019,8.41
5.80000019,8.69
3.0,8.69
3.20000005,8.6
-1.70000005,8.51
5.80000019,8.55
8.10000038,8.66
9.89999962,8.05
2.0,8.69
5.9000001,8.66
5.9000001,8.56
3.0,8.75
5.80000019,8.63
4.0,8.62
5.9000001,8.8
6.5999999,8.43
2.9000001,8.23
5.80000019,8.67
6.0999999,8.26
6.0,8.45
6.5999999,8.65
5.80000019,8.8
3.20000005,8.71
7.80000019,8.58
-1.89999998,8.81
-2.20000005,8.69
1.0,8.68
2.0,8.68
7.9000001,8.27
5.80000019,8.75
3.0,8.75
6.0,8.45
4.0999999,8.83
1.10000002,8.69
-4.80000019,8.71
2.9000001,8.6
1.20000005,8.72
3.0999999,8.89
3.0999999,8.73
3.0999999,8.73
9.89999962,8.37
3.0,8.71
4.30000019,8.73
5.9000001,8.37
9.89999962,8.43
2.0,8.63
3.20000005,8.73
-1.89999998,8.76
0.100000001,8.73
5.69999981,8.63
1.0,8.7
3.20000005,8.74
3.0,8.45
2.20000005,8.75
8.0,8.68
3.29999995,8.6
1.89999998,8.72
3.0999999,8.7
2.0,8.65
6.5,8.53
3.0999999,8.86
8.19999981,8.21
3.0999999,8.7
2.0,8.73
7.9000001,8.46
5.69999981,8.5
6.69999981,8.55
6.0,8.49
1.0,8.63
5.80000019,8.81
6.5999999,8.78
2.4000001,8.61
5.9000001,8.7
4.0,8.53
2.0,8.66
5.0,8.76
3.0,8.72
9.80000019,8.2
4.0,8.75
6.69999981,8.24
7.9000001,8.63
-3.0,8.64
3.79999995,8.71
3.0999999,8.76
3.0999999,8.8
4.0,8.8
4.5999999,8.72
6.4000001,8.6
4.0,8.59
6.0999999,8.5
9.89999962,8.48
2.0,8.64
3.0,8.64
-1.89999998,8.64
5.0999999,8.69
3.5999999,8.82
4.0,8.83
3.0,8.61
8.0,8.54
-1.79999995,8.68
4.0,8.77
1.10000002,8.71
1.0,8.74
6.69999981,8.57
6.5999999,8.44
3.5999999,8.8
4.4000001,8.75
5.9000001,8.65
3.0999999,8.76
-3.0999999,8.73
4.0999999,8.73
-0.400000006,8.39
-4.9000001,8.71
1.20000005,8.63
1.10000002,8.72
1.70000005,8.8
8.80000019,8.6
1.20000005,8.58
2.4000001,8.64
3.79999995,8.88
3.0999999,8.85
-2.0999999,8.6
3.79999995,8.77
1.20000005,8.8
3.0999999,8.92
8.0,8.5
1.0,8.58
5.9000001,8.55
3.0999999,8.71
6.0,8.86
-2.9000001,8.69
5.69999981,8.82
1.0,8.73
-3.0999999,8.66
2.9000001,8.62
9.80000019,8.35
6.4000001,8.71
3.0999999,8.89
5.9000001,8.66
6.9000001,8.67
6.0,8.69
4.0,8.75
-1.89999998,8.71
5.9000001,8.8
-2.20000005,8.65
6.5999999,8.71
8.89999962,7.96
1.10000002,8.64
-2.0,8.6
5.9000001,8.66
4.0999999,8.72
1.39999998,8.75
5.9000001,8.57
6.0,8.68
5.9000001,8.65
3.0999999,8.66
6.9000001,8.6
3.29999995,8.81
3.70000005,8.77
-2.0,8.82
4.0,8.74
4.0,8.69
8.10000038,8.49
5.0999999,8.51
9.0,8.68
4.0999999,8.69
3.0999999,8.73
1.20000005,8.85
6.0,8.72
7.9000001,8.56
1.10000002,8.84
5.0999999,8.66
4.0999999,8.68
0.400000006,8.43
1.10000002,8.87
8.0,8.25
6.0,8.72
-2.0999999,8.64
1.10000002,8.72
2.0,8.63
6.0,8.73
-2.0999999,8.8
0.800000012,8.67
6.0,8.71
6.0,8.61
1.20000005,8.81
1.0,8.79
3.0999999,8.86
-2.70000005,8.58
-4.9000001,8.3
5.9000001,8.5
-2.20000005,8.76
5.9000001,8.73
5.9000001,8.7
6.0,8.65
3.0999999,8.74
9.0,8.45
1.70000005,8.73
5.9000001,8.55
6.4000001,8.51
-0.699999988,8.57
4.0,8.71
6.5,8.64
1.60000002,8.68
3.0999999,8.72
6.0999999,8.47
5.9000001,8.68
3.20000005,8.79
9.80000019,8.19
8.0,8.55
6.0999999,8.41
-1.79999995,8.51
3.0999999,8.83
3.0999999,8.6
8.0,8.6
0.699999988,8.69
8.19999981,8.22
2.4000001,8.72
3.0999999,8.72
3.20000005,8.6
6.0,8.55
6.0,8.56
1.0,8.72
3.5999999,8.78
3.20000005,8.75
6.69999981,8.67
3.0999999,8.74
3.20000005,8.67
3.0,8.64
3.0999999,8.81
4.0,8.56
4.0,8.83
7.9000001,8.44
3.0999999,8.68
3.0999999,8.89
6.0,8.33
3.0,8.67
2.0,8.65
6.9000001,8.59
-2.0999999,8.69
-4.80000019,8.73
3.20000005,8.56
4.0,8.71
-1.89999998,8.72
7.5999999,8.37
-2.20000005,8.65
1.0,8.33
-2.9000001,8.85
8.60000038,8.29
4.0999999,8.62
2.29999995,8.77
1.10000002,8.8
3.29999995,8.62
5.80000019,8.73
1.89999998,8.64
1.20000005,8.55
0.100000001,8.79
1.0,8.61
0.0,8.64
-0.100000001,8.64
-2.20000005,8.31
-1.89999998,8.6
3.0999999,8.69
8.0,8.53
3.20000005,8.88
3.0,8.72
0.400000006,8.67
5.9000001,8.69
5.9000001,8.59
3.5999999,8.65
-1.79999995,8.76
4.0,8.76
2.0,8.81
-3.0999999,8.69
8.10000038,8.31
1.10000002,8.7
5.9000001,8.41
-4.9000001,8.52
6.19999981,8.58
3.20000005,8.73
8.69999981,8.4
5.9000001,8.66
6.9000001,8.75
1.10000002,8.71
-2.0999999,8.67
5.69999981,8.77
6.80000019,8.81
2.0,8.75
4.0999999,8.69
2.0,8.51
3.0,8.66
3.0,8.68
1.0,8.63
5.9000001,8.67
5.9000001,8.57
9.80000019,8.5
1.20000005,8.93
5.30000019,8.82
2.0,8.54
2.0,8.81
3.20000005,8.73
2.0,8.71
5.69999981,8.76
-0.100000001,8.69
3.0,8.56
3.20000005,8.54
2.0999999,8.76
5.9000001,8.8
3.0,8.71
5.0,8.68
4.0999999,8.64
6.0,8.41
1.10000002,8.79
-1.79999995,8.68
3.0,8.63
2.0,8.68
5.80000019,8.71
0.5,8.61
1.0,8.74
3.5999999,8.7
3.79999995,8.67
2.9000001,8.67
3.70000005,8.69
3.0,8.72
4.0999999,8.71
-0.600000024,8.76
8.0,8.5
2.0,8.62
5.69999981,8.66
-2.0999999,8.79
8.89999962,8.53
5.9000001,8.57
9.89999962,8.38
4.0,8.69
-0.100000001,8.66
3.0,8.63
7.80000019,8.58
3.0999999,8.8
4.0999999,8.76
5.9000001,8.39
1.60000002,8.72
7.9000001,8.78
5.5999999,8.66
5.4000001,8.71
5.30000019,8.78
6.5,8.77
6.0,8.8
3.29999995,8.76
6.0,8.9
-4.9000001,8.63
6.9000001,8.71
-2.0,8.65
3.20000005,8.73
-1.89999998,8.47
3.0999999,8.72
5.19999981,8.8
4.0,8.76
4.0999999,8.74
9.80000019,8.46
3.0999999,8.67
0.0,8.73
-4.9000001,8.77
5.80000019,8.75
-2.0,8.53
6.0,8.72
6.0,8.38
3.0999999,8.72
2.29999995,8.84
-1.79999995,8.64
5.80000019,8.79
5.5999999,8.73
-4.80000019,8.44
6.0,8.74
4.0999999,8.76
3.0999999,8.68
2.9000001,8.73
-2.0,8.63
5.4000001,8.76
-4.9000001,8.76
1.0,8.59
2.5,8.58
4.0,8.84
2.0,8.74
3.9000001,8.72
5.0999999,8.74
4.0,8.85
5.9000001,8.61
5.69999981,8.73
-0.200000003,8.65
-2.9000001,8.67
-4.69999981,8.71
2.9000001,8.75
4.0,8.73
-5.0,9.03
-0.699999988,8.62
0.300000012,8.73
-5.0,8.62
4.9000001,8.82
1.10000002,8.69
0.0,8.62
-0.200000003,8.71
-4.9000001,8.46
-4.0,8.71
4.0,8.8
-4.9000001,8.53
3.70000005,8.64
1.10000002,8.69
3.79999995,8.69
-1.10000002,8.72
2.9000001,8.64
3.0,8.69
4.0,8.68
-0.100000001,8.82
2.9000001,8.79
3.5999999,8.81
4.0,8.77
2.0999999,8.83
5.80000019,8.68
5.80000019,8.69
-2.0,8.65
3.20000005,8.83
0.899999976,8.69
3.0,8.6
3.29999995,8.73
8.10000038,8.67
6.5,8.58
3.29999995,8.64
3.9000001,8.74
3.0999999,8.68
2.0,8.73
5.0,8.79
2.0,8.65
-2.79999995,8.48
3.0999999,8.71
4.0,8.78
3.0,8.85
3.0,8.7
5.0999999,8.79
3.0,8.8
3.0999999,8.74
5.69999981,8.68
3.4000001,8.69
-4.9000001,8.82
4.0,8.63
1.20000005,8.84
-4.80000019,8.78
-4.80000019,8.76
5.9000001,8.66
3.0999999,8.85
3.0,8.67
5.80000019,8.7
0.0,8.64
6.0999999,8.4
0.899999976,8.48
3.0999999,8.72
3.0999999,8.73
2.0,8.69
-2.20000005,8.67
0.0,8.62
4.0,8.72
5.9000001,8.79
3.0999999,8.67
6.5999999,8.52
9.89999962,8.15
6.0,8.7
4.0999999,8.75
1.20000005,8.67
4.0999999,8.53
3.0,8.74
2.0,8.63
-2.0999999,8.73
4.9000001,8.58
5.19999981,8.8
-2.0999999,8.6
9.89999962,8.39
4.0,8.74
5.9000001,8.68
4.0,8.83
0.899999976,8.63
3.0999999,8.74
8.10000038,8.32
6.5999999,8.56
-0.300000012,8.74
4.0,8.72
3.0,8.76
4.0,8.79
5.9000001,8.66
1.10000002,8.65
7.5,8.57
4.19999981,8.65
8.0,8.62
5.0,8.69
2.0999999,8.79
5.9000001,8.51
5.9000001,8.69
-4.69999981,8.74
1.79999995,8.72
9.89999962,8.1
6.0999999,8.24
4.0999999,8.66
6.0,8.71
9.89999962,8.4
3.0,8.68
-2.79999995,8.61
7.0,8.65
6.4000001,8.74
0.0,8.54
4.0999999,8.7
-0.200000003,8.69
3.0999999,8.78
1.0,8.82
5.9000001,8.57
9.80000019,8.41
5.0999999,8.8
-4.69999981,8.43
5.0999999,8.66
5.80000019,8.61
5.30000019,8.75
-4.9000001,8.64
-1.10000002,8.75
-3.20000005,8.54
-3.0999999,8.77
5.9000001,8.72
5.30000019,8.85
6.69999981,8.8
2.0999999,8.82
9.10000038,8.54
5.9000001,8.58
-3.0999999,8.43
1.10000002,8.76
-2.0999999,8.53
2.0999999,8.58
6.0,8.57
1.0,8.59
6.0,8.5
2.0999999,8.86
6.0,8.77
-3.0,8.67
-2.0999999,8.35
-2.20000005,8.66
3.0999999,8.53
5.19999981,8.76
5.30000019,8.78
3.70000005,8.75
4.0,8.79
5.0999999,8.77
4.0,8.68
8.80000019,8.31
7.80000019,8.55
-4.69999981,8.86
3.79999995,8.68
9.0,8.41
3.79999995,8.8
-3.0999999,8.81
4.80000019,8.67
3.0999999,8.68
5.0999999,8.76
4.0,8.83
4.0,8.87
5.0,8.77
5.80000019,8.76
-2.0999999,8.62
-2.0,8.69
6.0,8.64
-1.89999998,8.77
5.80000019,8.74
5.80000019,8.72
-4.80000019,8.67
0.0,8.56
3.20000005,8.76
-1.89999998,8.58
3.29999995,8.84
5.30000019,8.77
4.5999999,8.74
5.69999981,8.67
1.0,8.64
8.0,8.41
6.80000019,8.74
6.0,8.73
-1.0,8.78
0.0,8.69
3.0999999,8.63
5.9000001,8.44
-1.70000005,8.58
-2.0999999,8.84
6.4000001,8.79
-2.20000005,8.77
1.0,8.71
5.80000019,8.68
3.0999999,8.63
4.0,8.83
2.0999999,8.83
4.0,8.8
4.30000019,8.77
5.69999981,8.72
5.19999981,8.76
4.80000019,8.79
6.9000001,8.7
2.20000005,8.64
5.9000001,8.67
8.89999962,8.46
4.0999999,8.76
7.0999999,8.41
5.30000019,8.72
